table,variable,themes
female_respondent,METHX190,contraception_sexual
female_respondent,METHX191,contraception_sexual
female_respondent,METHX192,contraception_sexual
female_respondent,HPPREGQ,pregnancy_fertility_history
female_respondent,DURTRY_N,pregnancy_fertility_history
female_respondent,DURTRY_P,pregnancy_fertility_history
female_respondent,YUSEPILL1,contraception_sexual
female_respondent,YUSEPILL2,contraception_sexual
female_respondent,YUSEPILL3,contraception_sexual
female_respondent,YUSEPILL4,contraception_sexual
female_respondent,YUSEPILL5,contraception_sexual
female_respondent,YUSEPILL6,contraception_sexual
female_respondent,IUDTYPE,contraception_sexual
female_respondent,YUSEIUD1,contraception_sexual
female_respondent,YUSEIUD2,contraception_sexual
female_respondent,YUSEIUD3,contraception_sexual
female_respondent,YUSEIUD4,contraception_sexual
female_respondent,YUSEIUD5,contraception_sexual
female_respondent,EKMETHOD,contraception_sexual
female_respondent,NUMPILLS,contraception_sexual
female_respondent,CURBCINS,demographics_social
female_respondent,NOUSEINS1,demographics_social
female_respondent,NOUSEINS2,demographics_social
female_respondent,MISSPILL,contraception_sexual
female_respondent,STEROP12,contraception_sexual
female_respondent,PARTUM12,partnership_marriage|fertility_services_art
female_respondent,IDCLINIC,fertility_services_art
female_respondent,AGEFPAP,demographics_social
female_respondent,AGEFPAP2,demographics_social
female_respondent,AGEFPEL,demographics_social
female_respondent,AGEPEL2,demographics_social
female_respondent,AGEFHPV,demographics_social
female_respondent,AGEFHPV2,demographics_social
female_respondent,ASKSMOKE,health_behavior
female_respondent,ASKPREG,pregnancy_fertility_history
female_respondent,RWANT,pregnancy_intention_outcome
female_respondent,PROBWANT,pregnancy_intention_outcome
female_respondent,PWANT,pregnancy_intention_outcome
female_respondent,INSEM12M,demographics_social
female_respondent,INSCOVPG,demographics_social
female_respondent,TRYLONG2,pregnancy_fertility_history
female_respondent,UNIT_TRYLONG2,pregnancy_fertility_history
female_respondent,DIABETES,health_behavior
female_respondent,GESTDIAB,pregnancy_intention_outcome|health_behavior
female_respondent,UFTREAT_1,fertility_services_art
female_respondent,UFTREAT_2,fertility_services_art
female_respondent,UFTREAT_3,fertility_services_art
female_respondent,UFTREAT_4,fertility_services_art
female_respondent,UFTREAT_5,fertility_services_art
female_respondent,UFTREAT_6,fertility_services_art
female_respondent,ENDOTREAT_1,fertility_services_art
female_respondent,ENDOTREAT_2,fertility_services_art
female_respondent,ENDOTREAT_3,fertility_services_art
female_respondent,ENDOTREAT_4,fertility_services_art
female_respondent,ENDOTREAT_5,fertility_services_art
female_respondent,ENDOTREAT_6,fertility_services_art
female_respondent,ENDOTREAT_7,fertility_services_art
female_respondent,ENDOTREAT_8,fertility_services_art
female_respondent,MENSEXP_1,contraception_sexual
female_respondent,MENSEXP_2,contraception_sexual
female_respondent,MENSEXP_3,contraception_sexual
female_respondent,MENSBCAGE,demographics_social
female_respondent,AGEPELPAIN,demographics_social
female_respondent,AGECANCER,demographics_social
female_respondent,AGEMAMMR,demographics_social
female_respondent,PREGHIV,pregnancy_fertility_history
female_respondent,PARINSUR,demographics_social
female_respondent,BMIcat,health_behavior
female_respondent,SMK100,health_behavior
female_respondent,AGESMK,demographics_social|health_behavior
female_respondent,SMOKE30,health_behavior
female_respondent,VAGSEX,contraception_sexual
female_respondent,AGEVAGR,demographics_social
female_respondent,J_HADSEX,contraception_sexual
female_respondent,TIMING,pregnancy_intention_outcome
female_respondent,ANALSEX,contraception_sexual
female_respondent,OPPSEXANY,contraception_sexual
female_respondent,OPPSEXGEN,contraception_sexual
female_respondent,CONDSEXL,contraception_sexual
female_respondent,BISEXPRT,contraception_sexual
female_respondent,FEMSEX,contraception_sexual
female_respondent,SAMESEXANY,contraception_sexual
female_respondent,SAMESEX1,contraception_sexual
female_respondent,FEMMARRN,partnership_marriage
female_respondent,GENWARTS,fertility_services_art
female_respondent,SEXABUSE,contraception_sexual
female_respondent,LIVDRUGS,health_behavior
female_respondent,RACEDESCRIM,demographics_social
female_respondent,AGER,demographics_social
female_respondent,FMARITAL,partnership_marriage
female_respondent,RMARITAL,partnership_marriage
female_respondent,HIEDUC,demographics_social
female_respondent,HIEDUC_I,demographics_social|imputation_flags
female_respondent,HISPANIC,demographics_social
female_respondent,HISPANIC_I,demographics_social|imputation_flags
female_respondent,HISPRACE2,demographics_social
female_respondent,HISPRACE2_I,demographics_social|imputation_flags
female_respondent,HHPARTYP,partnership_marriage|fertility_services_art
female_respondent,HHKIDTYP,pregnancy_fertility_history
female_respondent,INTCTFAM_I,imputation_flags
female_respondent,PARAGE14,demographics_social
female_respondent,PARAGE14_I,demographics_social|imputation_flags
female_respondent,EDUCMOM,demographics_social
female_respondent,EDUCMOM_I,demographics_social|imputation_flags
female_respondent,AGEMOMB1,demographics_social
female_respondent,AGEMOMB1_I,demographics_social|imputation_flags
female_respondent,PREGNUM,pregnancy_fertility_history
female_respondent,PREGNUM_I,pregnancy_fertility_history|imputation_flags
female_respondent,COMPREG,pregnancy_fertility_history
female_respondent,LBPREGS,pregnancy_fertility_history
female_respondent,PARITY,pregnancy_fertility_history
female_respondent,BIRTHS5,pregnancy_fertility_history
female_respondent,AGEPRG1,demographics_social
female_respondent,AGEPRG2,demographics_social
female_respondent,AGEPRG3,demographics_social
female_respondent,AGEPRG4,demographics_social
female_respondent,AGEPRG5,demographics_social
female_respondent,AGEPRG6,demographics_social
female_respondent,AGEPRG7,demographics_social
female_respondent,AGEPRG8,demographics_social
female_respondent,AGEPRG9,demographics_social
female_respondent,AGEPRG10,demographics_social
female_respondent,AGEPRG11,demographics_social
female_respondent,AGEPRG12,demographics_social
female_respondent,AGEPRG13,demographics_social
female_respondent,AGEPRG14,demographics_social
female_respondent,AGEPRG15,demographics_social
female_respondent,AGEPRG16,demographics_social
female_respondent,AGECON1,demographics_social
female_respondent,AGECON2,demographics_social
female_respondent,AGECON3,demographics_social
female_respondent,AGECON4,demographics_social
female_respondent,AGECON5,demographics_social
female_respondent,AGECON6,demographics_social
female_respondent,AGECON7,demographics_social
female_respondent,AGECON8,demographics_social
female_respondent,AGECON9,demographics_social
female_respondent,AGECON10,demographics_social
female_respondent,AGECON11,demographics_social
female_respondent,AGECON12,demographics_social
female_respondent,AGECON13,demographics_social
female_respondent,AGECON14,demographics_social
female_respondent,AGECON15,demographics_social
female_respondent,AGECON16,demographics_social
female_respondent,agebaby1,demographics_social
female_respondent,FMARNO,partnership_marriage
female_respondent,CSPBIOKD_I,imputation_flags
female_respondent,MARDAT01,partnership_marriage
female_respondent,MARDAT01_I,partnership_marriage|imputation_flags
female_respondent,MARDAT02,partnership_marriage
female_respondent,MARDAT02_I,partnership_marriage|imputation_flags
female_respondent,MAREND01,partnership_marriage
female_respondent,MAREND01_I,partnership_marriage|imputation_flags
female_respondent,MAREND02,partnership_marriage
female_respondent,MAREND02_I,partnership_marriage|imputation_flags
female_respondent,MARDIS01,partnership_marriage
female_respondent,MARDIS01_I,partnership_marriage|imputation_flags
female_respondent,MARDIS02,partnership_marriage
female_respondent,MARDIS02_I,partnership_marriage|imputation_flags
female_respondent,FMAR1AGE,demographics_social|partnership_marriage
female_respondent,FMAR1AGE_I,demographics_social|partnership_marriage|imputation_flags
female_respondent,fmar2age,demographics_social|partnership_marriage
female_respondent,AGEDISS1,demographics_social
female_respondent,AGEDISS1_I,demographics_social|imputation_flags
female_respondent,AGEDD1,demographics_social
female_respondent,AGEDD1_I,demographics_social|imputation_flags
female_respondent,mar1diss,partnership_marriage
female_respondent,mar1bir1,partnership_marriage
female_respondent,mar1con1,partnership_marriage
female_respondent,con1mar1,partnership_marriage
female_respondent,b1premar,partnership_marriage
female_respondent,COHAB1,partnership_marriage
female_respondent,COHAB1_I,partnership_marriage|imputation_flags
female_respondent,COHSTAT_I,imputation_flags
female_respondent,COH1DUR_I,imputation_flags
female_respondent,HADSEX,contraception_sexual
female_respondent,SEXONCE,contraception_sexual
